"id","ep_num","segment","title","role","text"
8010001,801,1,"GOOD TIMES WITH WEAPONS","description","Park County Fair, day. South Park is more spread out these days. Looking like a small city now. People mill around. The boys walk along a fairway. Cartman pulls out a small firecracker and tosses it on the ground before Kyle and cackles softly"
8010002,801,1,"GOOD TIMES WITH WEAPONS","KYLE","Stop it, Cartman!"
8010003,801,1,"GOOD TIMES WITH WEAPONS","CARTMAN","Pfaha, so funny."
8010004,801,1,"GOOD TIMES WITH WEAPONS","KYLE","Goddamnit Cartman, stope throwin' those stupid popping things at me!"
8010005,801,1,"GOOD TIMES WITH WEAPONS","ROGER","Come on and take a look, folks. We've got a lot of knives for sale here."
8010006,801,1,"GOOD TIMES WITH WEAPONS","STAN","Oh my God, look!  Martial arts weapons from the Far East."
8010007,801,1,"GOOD TIMES WITH WEAPONS","KYLE","Wow, cool."
8010008,801,1,"GOOD TIMES WITH WEAPONS","STAN","Dude! We should each buy a weapon, and then we'll be like ninjas."
8010009,801,1,"GOOD TIMES WITH WEAPONS","CARTMAN","Yeah. We won't have to take crap from anybody."
8010010,801,1,"GOOD TIMES WITH WEAPONS","KYLE","Our parents won't let us have weapons, dude."
8010011,801,1,"GOOD TIMES WITH WEAPONS","CARTMAN","Who's gonna tell them, dumbass?!"
8010012,801,1,"GOOD TIMES WITH WEAPONS","STAN","Yeah, dude, our parents are gonna be at the stupid fair all day long. They'll never know what we bought.  I'll get the tonfas.  Those are so sweet."
8010013,801,1,"GOOD TIMES WITH WEAPONS","CARTMAN","I'm gonna get those killer sai.  Look Kenny! There's something even you can afford! A ninja shuriken  for a dollar ninety nine."
8010014,801,1,"GOOD TIMES WITH WEAPONS","KENNY","(Shuriken. Awesome!)"
8010015,801,1,"GOOD TIMES WITH WEAPONS","ROGER","Can I help you boys?"
8010016,801,1,"GOOD TIMES WITH WEAPONS","STAN","Yeah. We wanna get one of each of these ninja weapons."
8010017,801,1,"GOOD TIMES WITH WEAPONS","ROGER","Okay, uh, you need to have your parents here when you buy them, though. I, I can't sell to anyone under eighteen without parents' permission."
8010018,801,1,"GOOD TIMES WITH WEAPONS","CARTMAN","Parents? Parents??  Oh God!"
8010019,801,1,"GOOD TIMES WITH WEAPONS","ROGER","Uh wha, what's the matter?"
8010020,801,1,"GOOD TIMES WITH WEAPONS","STAN","We, we're brothers, see, and our parents... died in a car accident last year."
8010021,801,1,"GOOD TIMES WITH WEAPONS","CARTMAN","Why?!  Why?! Why did you have to take them both?! Why!  Why?!"
8010022,801,1,"GOOD TIMES WITH WEAPONS","KYLE","Why do people have to keep reminding us of what we don't have??"
8010023,801,1,"GOOD TIMES WITH WEAPONS","ROGER","It's all right, it's all right boys. Don't cry, I'll... I'll just... go pack these up for you, okay?"
8010024,801,1,"GOOD TIMES WITH WEAPONS","STAN","Goddamn, that's like the twelfth time that's worked."
8010025,801,2,"GOOD TIMES WITH WEAPONS","description","Cartman's house, moments later. The boys are in his basement mastering their new weapons. Each boy gets the weapon he wanted. Kyle gets the yellow-ended nunchakus"
8010026,801,2,"GOOD TIMES WITH WEAPONS","STAN","Kiya! Kiya!"
8010027,801,2,"GOOD TIMES WITH WEAPONS","KYLE","Kaii yo!"
8010028,801,2,"GOOD TIMES WITH WEAPONS","CARTMAN","Giya! Shut up, hippies! I'll kill you! Iya!"
8010029,801,2,"GOOD TIMES WITH WEAPONS","STAN","With my tonfa of Takanawa, I become the great and powerful ninja Sharohachi, born to fight evil and people I don't like."
8010030,801,2,"GOOD TIMES WITH WEAPONS","KYLE","Yeah. And my powerful nunchakus make me into Bounaku , a deadly but compassionate ninja who protects those in trouble."
8010031,801,2,"GOOD TIMES WITH WEAPONS","STAN","What's your ninja name, Kenny?"
8010032,801,2,"GOOD TIMES WITH WEAPONS","KENNY","(unintelligible)"
8010033,801,2,"GOOD TIMES WITH WEAPONS","CARTMAN","Yes. And I... am Bulrog. Tough brute ninja who has dedicated his life to eradicating the world of hippies"
8010034,801,2,"GOOD TIMES WITH WEAPONS","STAN","All right, ninjas! Let's go protect the world!"
8010035,801,2,"GOOD TIMES WITH WEAPONS","CARTMAN","Kick ass!"
8010036,801,3,"GOOD TIMES WITH WEAPONS","description","Outside, the neighborhood. The boys walk out onto a new, more-detailed landscape"
8010037,801,3,"GOOD TIMES WITH WEAPONS","CARTMAN","Hey you guys, you know what we should do? We should go show our weapons to Craig and those guys. They'll be so jealous."
8010038,801,3,"GOOD TIMES WITH WEAPONS","KENNY","(Hey yeah, that'd be awesome!)"
8010039,801,3,"GOOD TIMES WITH WEAPONS","KYLE","No dude, we can't go around showing our weapons to people. Our parents'll find out we have them."
8010040,801,3,"GOOD TIMES WITH WEAPONS","CARTMAN","Ech! You see, guys? This is why Jews can't be ninjas! They've got no spine!"
8010041,801,3,"GOOD TIMES WITH WEAPONS","KYLE","You don't know anything about Jews, fatass!"
8010042,801,3,"GOOD TIMES WITH WEAPONS","CARTMAN","Oh yeah?! My mom took me to see Mel Gibson's movie, The Passion, and Mel Gibson says you are a sloth and you are a liar. And if the Road Warrior says it, it must be true."
8010043,801,3,"GOOD TIMES WITH WEAPONS","STAN","Don't worry, Kyle. Craig's not gonna tell on us. Come, ninjas, let's go. All right, this is it."
8010044,801,3,"GOOD TIMES WITH WEAPONS","CARTMAN","Yes. The residence of the one called... Craig."
8010045,801,3,"GOOD TIMES WITH WEAPONS","KYLE","I still say this is a bad idea."
8010046,801,4,"GOOD TIMES WITH WEAPONS","description","Craig's house. Stan pounds on the door"
8010047,801,4,"GOOD TIMES WITH WEAPONS","STAN","Ninja positions!  Hello, Craig!"
8010048,801,4,"GOOD TIMES WITH WEAPONS","CARTMAN","Look what we got."
8010049,801,4,"GOOD TIMES WITH WEAPONS","CRAIG","Where'd you get those?"
8010050,801,4,"GOOD TIMES WITH WEAPONS","STAN","We can't tell you where we got 'em! It's secret ninja stuff."
8010051,801,4,"GOOD TIMES WITH WEAPONS","CARTMAN","Oooh, is that jealousy I see in your eyes, Craig? Mmm, yes, drown me in the sweet water of your envy."
8010052,801,4,"GOOD TIMES WITH WEAPONS","CRAIG","Uh, uh, they're not that cool."
8010053,801,4,"GOOD TIMES WITH WEAPONS","STAN","Hyeah, ""they're not that cool."" These are real authentic weapons from the Far East."
8010054,801,4,"GOOD TIMES WITH WEAPONS","KYLE","But don't tell anybody we have them."
8010055,801,4,"GOOD TIMES WITH WEAPONS","CARTMAN","Ugh."
8010056,801,4,"GOOD TIMES WITH WEAPONS","TOKEN","Whoa! Where'd you get those??"
8010057,801,4,"GOOD TIMES WITH WEAPONS","CLYDE","Let me see."
8010058,801,4,"GOOD TIMES WITH WEAPONS","STAN","Uh, we'd love to hang out guys, but we have important secret work to do."
8010059,801,4,"GOOD TIMES WITH WEAPONS","CARTMAN","Yes. The life of a ninja is complex and full of peril.  Come on, ninjas!"
8010060,801,4,"GOOD TIMES WITH WEAPONS","ALL","Ho!"
8010061,801,5,"GOOD TIMES WITH WEAPONS","description","On the road"
8010062,801,5,"GOOD TIMES WITH WEAPONS","CARTMAN","Ho man, did you see the look on Craig's face?! That was awesome!"
8010063,801,5,"GOOD TIMES WITH WEAPONS","STAN","Dude, we're like the coolest kids in the whole state!"
8010064,801,5,"GOOD TIMES WITH WEAPONS","BUTTERS","Huhey fellas. What's happenin'?"
8010065,801,5,"GOOD TIMES WITH WEAPONS","CARTMAN","We're playing Ninjas, Butters."
8010066,801,5,"GOOD TIMES WITH WEAPONS","BUTTERS","Wowee! Hey, can I play, uhninjas with you?"
